关键词,基础词,状态,来源,百度PC指数
乐山新闻网,新闻,True,百度,0
新闻联播,新闻,True,百度,0
新闻周刊,新闻,True,百度,0
新闻发布,新闻,True,百度,0
新闻大求真,新闻,True,百度,0
新闻1+1,新闻,True,百度,0
新闻出版总署,新闻,True,百度,0
新闻网,新闻,True,百度,0
新闻稿,新闻,True,百度,0
新闻联播直播 今天,新闻,True,百度,0
爱情,,False,未知,0
小说,,False,未知,0
游戏,,False,未知,0
斗罗大陆,,False,未知,0
人物,,False,未知,0
华为,,False,未知,0
千与千寻,,False,未知,0
iPhone增加墨绿色,iphone,True,百度,0
iphone se2,iphone,True,百度,0
iphone 9,iphone,True,百度,0
iphonex,iphone,True,百度,0
iphone se,iphone,True,百度,0
iphone xr,iphone,True,百度,0
iphone xs max,iphone,True,百度,0
iphone8p,iphone,True,百度,0
iphone7,iphone,True,百度,0
iphone 6s,iphone,True,百度,0
香港,,False,未知,0
