域名,关键词,状态,来源,百度PC指数
xinwenlianbo.cc,,True,百度,0
baidu.com,,True,百度,0
cntv.cn,,True,百度,0
cctv.com,,True,百度,0
tvmao.com,,True,百度,0
xwlbo.com,,True,百度,0
massp.cn,,True,百度,0
cztv.com,,True,百度,0
mof.gov.cn,,True,百度,0
hfbtv.com,,True,百度,0
01-123.com,,True,百度,0
cnnb.com.cn,,True,百度,0
sina.com.cn,,True,百度,0
hljtv.com,,True,百度,0
habctv.com,,True,百度,0
lf.gov.cn,,True,百度,0
lytv.net.cn,,True,百度,0
tongliao.gov.cn,,True,百度,0
dangtu.gov.cn,,True,百度,0
gatv.com.cn,,True,百度,0
nytv.com.cn,,True,百度,0
zhuzhou.gov.cn,,True,百度,0
gdmztv.com,,True,百度,0
centv.cn,,True,百度,0
cocodala.gov.cn,,True,百度,0
fytv.com.cn,,True,百度,0
0554news.com,,True,百度,0
cctv-cmpany.com,,True,百度,0
jxgztv.com,,True,百度,0
sinoins.com,,True,百度,0
ylwltv.com,,True,百度,0
yucheng.gov.cn,,True,百度,0
qguiyang.cn,,True,百度,0
qq.com,,True,百度,0
hsrtv.cn,,True,百度,0
chinadaily.com.cn,,True,百度,0
vestiprim.cn,,True,百度,0
abatv.com.cn,,True,百度,0
baidu.com,,True,百度,0
zol.com.cn,,True,百度,0
apple.com,,True,百度,0
pconline.com.cn,,True,百度,0
jd.com,,True,百度,0
163.com,,True,百度,0
smzdm.com,,True,百度,0
sohu.com,,True,百度,0
yesky.com,,True,百度,0
elecfans.com,,True,百度,0
cnmo.com,,True,百度,0
techweb.com.cn,,True,百度,0
bianwanjia.com,,True,百度,0
ithome.com,,True,百度,0
ifanr.com,,True,百度,0
sina.com.cn,,True,百度,0
hsw.cn,,True,百度,0
gome.com.cn,,True,百度,0
suning.com,,True,百度,0
hxnews.com,,True,百度,0
leshan.cn,,True,百度,0
leshan.gov.cn,,True,百度,0
greentechcn.com,,True,百度,0
yybnet.net,,True,百度,0
baidu.com,,True,百度,0
newssc.org,,True,百度,0
01-123.com,,True,百度,0
bjydjgzjlb.com,,True,百度,0
sxhhls.com,,True,百度,0
jwmcrew.com,,True,百度,0
114chn.com,,True,百度,0
lb122.com,,True,百度,0
subhd.com,,True,百度,0
aizhan.com,,True,百度,0
chinaforge.org.cn,,True,百度,0
0790auto.cn,,True,百度,0
weibo.com,,True,百度,0
scmenhu.com,,True,百度,0
bnbio.com,,True,百度,0
tsrcw.com,,True,百度,0
qq.com,,True,百度,0
